no,title,author,price,link,cover
1,Esok Lebih Baik,Dr.Abdullah Al-Maghluts,53.550,Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/168502-Esok-Lebih-Baik.html,https://www.bukukita.com/babacms/displaybuku/118502.jpg
2,Konstantinopel Abad Ke-17,Euliya Celebi,80.750,Buku-Novel/Sejarah-Fiksi/168503-Konstantinopel-Abad-Ke-17.html,https://www.bukukita.com/babacms/displaybuku/118503.jpg
3,Sulaiman Al-Qanuni,Harold Lamb,97.750,Biografi-dan-Memoar/Biografi/168504-Sulaiman-Al-Qanuni.html,https://www.bukukita.com/babacms/displaybuku/118504.jpg
4,Selasa Rahasia 1,Najelaa Shihab,80.750,Remaja/Remaja-Umum/168474-Selasa-Rahasia-1.html,https://www.bukukita.com/babacms/displaybuku/118474.jpg
5,Siap-Siap Jadi Orangtua,"Najelaa Shihab,Yulia Indriati,Dan Relawan Rangkul Keluarga Kita",90.000,Orang-Tua-dan-Keluarga/Orang-Tua-dan-Anak/168488-Siap-Siap-Jadi-Orangtua.html,https://www.bukukita.com/babacms/displaybuku/118488.jpg
6,#About Friends,Tere Liye,81.840,Buku-Novel/Drama/149965-About-Friends.html,https://www.bukukita.com/babacms/displaybuku/99965.jpg
7,A Brief History of Time - Sejarah Singkat Waktu,Stephen Hawking,61.600,Sejarah-dan-Budaya/Sejarah-Dunia/152072-A-Brief-History-of-Time-Sejarah-Singkat-Waktu.html,https://www.bukukita.com/babacms/displaybuku/102072.jpg
8,"Aku Pandai Berhitung Perkalian & Pembagian Untuk Kelas 3,4,5  SD",Novita Zahiroh,47.175,"Anak-Anak/Pelajaran-Sekolah/166730-Aku-Pandai-Berhitung-Perkalian-&-Pembagian-Untuk-Kelas-3,4,5-SD.html",https://www.bukukita.com/babacms/displaybuku/116730.jpg
9,AL-MATSURAT SUGRO,Hasan Al-Banna,2.975,Agama/Islam/121396-AL-MATSURAT-SUGRO.html,https://www.bukukita.com/babacms/displaybuku/71396.jpg
10,Almond,Sohn Won - Pyung,77.440,Buku-Novel/Remaja/161782-Almond.html,https://www.bukukita.com/babacms/displaybuku/111782.jpg
11,Anak Muda Miliarder Saham oleh Andika Sutoro Putra,Andika Sutoro Putra,59.840,Ekonomi-dan-Manajemen/Bisnis-Investasi/156430-Anak-Muda-Miliarder-Saham-oleh-Andika-Sutoro-Putra.html,https://www.bukukita.com/babacms/displaybuku/106430.jpg
12,Analisis Structural Equation Modelling (SEM) menggunakan AMOS 26,Singgih Santoso,66.000,Komputer-dan-Internet/Pemrograman/167726-Analisis-Structural-Equation-Modelling.html,https://www.bukukita.com/babacms/displaybuku/117726.jpg
13,Anomali: Memoar Seorang Bipolar,Elnov .,59.840,Biografi-dan-Memoar/Memoar/166076-Anomali:-Memoar-Seorang-Bipolar.html,https://www.bukukita.com/babacms/displaybuku/116076.jpg
14,Atomic Habits: Perubahan Kecil yang Memberikan Hasil Luar Biasa,James Clear,95.040,Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/163495-Atomic-Habits:-Perubahan-Kecil-yang-Memberikan-Hasil-Luar-Biasa.html,https://www.bukukita.com/babacms/displaybuku/113495.jpg
15,Baca Buku Ini Saat Engkau Lelah,Munita Yeni,47.175,Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/160869-Baca-Buku-Ini-Saat-Engkau-Lelah.html,https://www.bukukita.com/babacms/displaybuku/110869.jpg
16,Bandarmology ( Update Version ) ,"Ryan Filbert Wijaya, S.Sn, ME.",65.824,Buku-Teks/Ekonomi/129842-Bandarmology.html,https://www.bukukita.com/babacms/displaybuku/79842.jpg
17,Bandarmology vs Teknikal,William Hartanto,70.400,Buku-Teks/Ekonomi/166345-Bandarmology-vs-Teknikal.html,https://www.bukukita.com/babacms/displaybuku/116345.jpg
18,Belajar Formula & Fungsi Microsoft Excel,Ibnu Teguh Wibowo,37.825,Komputer-dan-Internet/Office/149210-Belajar-Formula-&-Fungsi-Microsoft-Excel.html,https://www.bukukita.com/babacms/displaybuku/99210.jpg
19,Bencana dan Peperangan Akhir Zaman Sebagaimana Rasulullah Kabarkan,Ibnu Katsir,160.650,Agama/Islam/137479-Bencana-dan-Peperangan-Akhir-Zaman-Sebagaimana-Rasulullah-Kabarkan.html,https://www.bukukita.com/babacms/displaybuku/87479.jpg
20,Berani Tidak Disukai,ICHIRO KISHIMI DAN FUMITAKE KOGA,86.240,Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/166447-Berani-Tidak-Disukai.html,https://www.bukukita.com/babacms/displaybuku/116447.jpg
21,Bicara Itu Ada Seninya,Oh Su Hyang,63.360,Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/159861-Bicara-Itu-Ada-Seninya.html,https://www.bukukita.com/babacms/displaybuku/109861.jpg
22,Bila Esok Ayah Tiada,"Muhamad Yasir, Lc",57.200,Buku-Novel/Drama/152068-Bila-Esok-Ayah-Tiada.html,https://www.bukukita.com/babacms/displaybuku/102068.jpg
23,Bitcoin Trading For Z Generation,Oscar Darmawan & Sintha Rosse,45.760,Ekonomi-dan-Manajemen/Bisnis-Investasi/150692-Bitcoin-Trading-For-Z-Generation.html,https://www.bukukita.com/babacms/displaybuku/100692.jpg
24,Breaking The Wall,HELMY YAHYA,350.000,Remaja/Pengembangan-Diri/167977-Breaking-The-Wall.html,https://www.bukukita.com/babacms/displaybuku/117977.jpg
25,Buku Bedebah Di Ujung Tanduk,Tere Liye,89.000,Buku-Novel/Mistery-Thriller/168254-Buku-Bedebah-Di-Ujung-Tanduk.html,https://www.bukukita.com/babacms/displaybuku/118254.jpg
26,Buku Latihan Soal Mantappu Jiwa,Jerome Polin Sijabat,83.600,Buku-Novel/Fiksi/163210-Buku-Latihan-Soal-Mantappu-Jiwa.html,https://www.bukukita.com/babacms/displaybuku/113210.jpg
27,Buku MENGAPA ORANG DI SEKITARMU BODOH? PANDUAN PRAKTIS MENCIPTAKA,DR.Syarif Arafah,49.300,Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/168227-Buku-MENGAPA-ORANG-DI-SEKITARMU-BODOH?-PANDUAN-PRAKTIS-MENCIPTAKA.html,https://www.bukukita.com/babacms/displaybuku/118227.jpg
28,"Buku Sakti Html, Css & Javascript : Pemrograman Web Itu Gamp","ADAM SAPUTRA, S.SI.",51.000,"Komputer-dan-Internet/Pemrograman/168046-Buku-Sakti-Html,-Css-&-Javascript-:-Pemrograman-Web-Itu-Gamp.html",https://www.bukukita.com/babacms/displaybuku/118046.jpg
29,Bulan (Cover Baru),Tere Liye,83.600,Buku-Novel/Romance/145221-Bulan.html,https://www.bukukita.com/babacms/displaybuku/95221.jpg
30,Bumi (Cover Baru ),Tere Liye,90.640,Buku-Novel/Remaja/167631-Bumi.html,https://www.bukukita.com/babacms/displaybuku/117631.jpg
31,Bumi Manusia,Pramoedya Ananta Toer,116.160,Buku-Novel/Sejarah-Fiksi/148759-Bumi-Manusia.html,https://www.bukukita.com/babacms/displaybuku/98759.jpg
32,Cinta untuk Perempuan yang Tidak Sempurna (Reguler),Najelaa Shihab,84.150,Buku-Novel/Islam/166448-Cinta-untuk-Perempuan-yang-Tidak-Sempurna.html,https://www.bukukita.com/babacms/displaybuku/116448.jpg
33,Completed Staff Work - Biar Kamu Cepat Dapat Promosi,Liliana Lyn Wong,42.240,Ekonomi-dan-Manajemen/Bisnis-Investasi/163347-Completed-Staff-Work-Biar-Kamu-Cepat-Dapat-Promosi.html,https://www.bukukita.com/babacms/displaybuku/113347.jpg
34,Detektif Conan 97,Aoyama Gosho,24.640,Komik/Comic/167132-Detektif-Conan-97.html,https://www.bukukita.com/babacms/displaybuku/117132.jpg
35,Detektif Conan 98,Aoyama Gosho,24.640,Komik/Comic/167371-Detektif-Conan-98.html,https://www.bukukita.com/babacms/displaybuku/117371.jpg
36,Dragon Slayer Trading Strategy,WILLIAM WIN YANG,79.200,Ekonomi-dan-Manajemen/Bisnis-Investasi/167755-Dragon-Slayer-Trading-Strategy.html,https://www.bukukita.com/babacms/displaybuku/117755.jpg
37,Dzikir & Doa Haji-Umrah : A Pocket Guide,Luqman Al-Hakim,75.650,Agama/Islam/152478-Dzikir-&-Doa-Haji-Umrah-:-A-Pocket-Guide.html,https://www.bukukita.com/babacms/displaybuku/102478.jpg
38,English Classics: Persuasion,Jane Austen,51.920,Buku-Novel/Fiksi/163247-English-Classics:-Persuasion.html,https://www.bukukita.com/babacms/displaybuku/113247.jpg
39,Ensiklopedia Balita Cerdas: Mobil,laraouse,35.200,Anak-Anak/Pendidikan-Anak/164282-Ensiklopedia-Balita-Cerdas:-Mobil.html,https://www.bukukita.com/babacms/displaybuku/114282.jpg
40,Entrok (Cover 2021),Okky Puspa Madasari,70.400,Buku-Novel/Sastra/167951-Entrok.html,https://www.bukukita.com/babacms/displaybuku/117951.jpg
41,Filosofi Teras: Filsafat Yunani-Romawi Kuno Untuk Mental Tangguh Masa Kini,Henry Manampiring,86.240,Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/159995-Filosofi-Teras:-Filsafat-Yunani-Romawi-Kuno-Untuk-Mental-Tangguh-Masa-Kini.html,https://www.bukukita.com/babacms/displaybuku/109995.jpg
42,Funiculi Funicula,Toshikazu Kawaguchi,61.600,Buku-Novel/Sastra/167613-Funiculi-Funicula.html,https://www.bukukita.com/babacms/displaybuku/117613.jpg
43,Gadis Minimarket (Convenience Store Woman),Murata Sayaka,51.040,Buku-Novel/Drama/166465-Gadis-Minimarket.html,https://www.bukukita.com/babacms/displaybuku/116465.jpg
44,Gadis-Gadis March (Little Women),Louisa May Alcott,66.000,Buku-Novel/Fiksi/164223-Gadis-Gadis-March.html,https://www.bukukita.com/babacms/displaybuku/114223.jpg
45,Glossy Gentlemen Guide,"Jet Veetlev, Kei Savourie, Lex Depraxis",118.800,Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/167426-Glossy-Gentlemen-Guide.html,https://www.bukukita.com/babacms/displaybuku/117426.jpg
46,"Goodbye, Things: Hidup Minimalis ala Orang Jepang",Fumio Sasaki,68.640,"Buku-Novel/Drama/159907-Goodbye,-Things:-Hidup-Minimalis-ala-Orang-Jepang.html",https://www.bukukita.com/babacms/displaybuku/109907.jpg
47,Grand Legend Ramayana vol 2,Is Yuniarto,21.250,Komik/Comic/155025-Grand-Legend-Ramayana-vol-2.html,https://www.bukukita.com/babacms/displaybuku/105025.jpg
48,Grit: Kekuatan Passion dan Kegigihan (Edisi Revisi),Angela Duckworth,112.640,Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/160361-Grit:-Kekuatan-Passion-dan-Kegigihan.html,https://www.bukukita.com/babacms/displaybuku/110361.jpg
49,Hamil Tanpa Galau,Teman Bumil,92.400,Orang-Tua-dan-Keluarga/Orang-Tua-dan-Anak/162619-Hamil-Tanpa-Galau.html,https://www.bukukita.com/babacms/displaybuku/112619.jpg
50,Hemat (Sampah) Pangkal Kaya,DENIA ISETIANTI & ALDY MARDIKANTO,114.400,Ekonomi-dan-Manajemen/Bisnis-Investasi/167410-Hemat.html,https://www.bukukita.com/babacms/displaybuku/117410.jpg
51,Hipnotis: Untuk Kehidupan Sehari Hari ,Tim Penerbit,57.200,Psikologi-dan-Pengembangan-Diri/Psikologi/135958-Hipnotis:-Untuk-Kehidupan-Sehari-Hari.html,https://www.bukukita.com/babacms/displaybuku/85958.jpg
52,Home Cooking ala Xanders Kitchen: 100 Resep Hits di Instagram,Junita,147.840,Masakan-dan-Makanan/Resep-Masakan/155152-Home-Cooking-ala-Xanders-Kitchen:-100-Resep-Hits-di-Instagram.html,https://www.bukukita.com/babacms/displaybuku/105152.jpg
53,How To Build A Billion Dollar App (HC),George Berkowski,118.150,Inspirasi-dan-Spiritual/Kiat-Sukses/166859-How-To-Build-A-Billion-Dollar-App.html,https://www.bukukita.com/babacms/displaybuku/116859.jpg
54,How To Think Like Sherlock Holmes,PETER HOLLINS,51.040,Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/167779-How-To-Think-Like-Sherlock-Holmes.html,https://www.bukukita.com/babacms/displaybuku/117779.jpg
55,Hujan - Cover Baru 2018,Tere Liye,68.640,Buku-Novel/Drama/156243-Hujan-Cover-Baru-2018.html,https://www.bukukita.com/babacms/displaybuku/106243.jpg
56,Hujan Bulan Juni Sebuah Novel,Sapardi Djoko Damono,51.040,Buku-Novel/Sastra/135649-Hujan-Bulan-Juni-Sebuah-Novel.html,https://www.bukukita.com/babacms/displaybuku/85649.jpg
57,Jakarta: A Dining History,Kevindra Prianto Soemantri,67.584,Buku-Teks/Ilmu-Sosial/168403-Jakarta:-A-Dining-History.html,https://www.bukukita.com/babacms/displaybuku/118403.jpg
58,Jangan Membuat Masalah Kecil Jadi Masalah Besar,Richard Carlson,59.840,Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/162089-Jangan-Membuat-Masalah-Kecil-Jadi-Masalah-Besar.html,https://www.bukukita.com/babacms/displaybuku/112089.jpg
59,Jenghis Khan : Legenda Sang Penakluk dari Mongolia [Hard Cover],John Man,102.000,Sejarah-dan-Budaya/Sejarah-Dunia/147086-Jenghis-Khan-:-Legenda-Sang-Penakluk-dari-Mongolia.html,https://www.bukukita.com/babacms/displaybuku/97086.jpg
60,Jerusalem: The Biography [Hard Cover],Simon Sebag Montefiore,169.150,Sejarah-dan-Budaya/Sejarah-Dunia/147088-Jerusalem:-The-Biography.html,https://www.bukukita.com/babacms/displaybuku/97088.jpg
61,Kamus Saku Inggris-Indonesia # Indonesia-Inggris,Tim GPU,66.880,Bahasa-dan-Kamus/Kamus-Umum/58169-Kamus-Saku-Inggris-Indonesia-Indonesia-Inggris.html,https://www.bukukita.com/babacms/displaybuku/8169.jpg
62,Keajaiban Toko Kelontong Namiya---Namiya Zakkaten no Kiseki/The Miracles of the Namiya General Store,Keigo Higashino,114.400,Buku-Novel/Drama/167171-Keajaiban-Toko-Kelontong-Namiya-Namiya-Zakkaten-no-Kiseki-The-Miracles-of-the-Namiya-General-Store.html,https://www.bukukita.com/babacms/displaybuku/117171.jpg
63,Kim Ji-Yeong Lahir Tahun 1982,Coo Nam-Jo,51.040,Buku-Novel/Drama/163849-Kim-Ji-Yeong-Lahir-Tahun-1982.html,https://www.bukukita.com/babacms/displaybuku/113849.jpg
64,Komik Doraemon Vol. 0,Fujiko F Fujio,52.800,Komik/Comic/167535-Komik-Doraemon-Vol.-0.html,https://www.bukukita.com/babacms/displaybuku/117535.jpg
65,Kuasai Dirimu: Panduan Membangun Mind-set dan Mental Sukses,Ahmad Dzikran,38.250,Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/148707-Kuasai-Dirimu:-Panduan-Membangun-Mind-set-dan-Mental-Sukses.html,https://www.bukukita.com/babacms/displaybuku/98707.jpg
66,Kuasai Percakapan Bahasa Arab,Shofia T. Indarti & Sahara Ramadhani,40.375,Bahasa-dan-Kamus/Belajar-Bahasa/159676-Kuasai-Percakapan-Bahasa-Arab.html,https://www.bukukita.com/babacms/displaybuku/109676.jpg
