no,title,author,price,link,cover
67,"Kumpulan Rumus Pintar Matematika Sd/Mi Kelas 1,2,3,4,5,6",Tim Pustaka Pintar,70.125,"Buku-Sekolah/Sekolah-Dasar/167363-Kumpulan-Rumus-Pintar-Matematika-Sd-Mi-Kelas-1,2,3,4,5,6.html",https://www.bukukita.com/babacms/displaybuku/117363.jpg
68,Laut Bercerita,Leila S. Chudori,88.000,Buku-Novel/Drama/155261-Laut-Bercerita.html,https://www.bukukita.com/babacms/displaybuku/105261.jpg
69,Loving The Wounded Soul,Regis Machdy,77.440,Remaja/Pengembangan-Diri/167778-Loving-The-Wounded-Soul.html,https://www.bukukita.com/babacms/displaybuku/117778.jpg
70,Manager & Supervisor - Guide Book,Adiyati NF,39.525,Ekonomi-dan-Manajemen/Marketing/150041-Manager-&-Supervisor-Guide-Book.html,https://www.bukukita.com/babacms/displaybuku/100041.jpg
71,Masa Depan Dunia Setelah Covid-19,Jason Schenker,41.650,Buku-Teks/Ekonomi/166600-Masa-Depan-Dunia-Setelah-Covid-19.html,https://www.bukukita.com/babacms/displaybuku/116600.jpg
72,MATAHARI,Tere Liye,83.600,Buku-Novel/Petualangan/144692-MATAHARI.html,https://www.bukukita.com/babacms/displaybuku/94692.jpg
73,Memilih (Menjadi Investor) Bahagia ,"WUDDY WARSONO, CFA",132.000,Buku-Teks/Investasi/167464-Memilih.html,https://www.bukukita.com/babacms/displaybuku/117464.jpg
74,Mengayuh Negeri dengan Cinta,Kang Dedi Mulyadi,42.500,Hukum-dan-Undang-undang/Sosial-Politik/83924-Mengayuh-Negeri-dengan-Cinta.html,https://www.bukukita.com/babacms/displaybuku/33924.jpg
75,Mikrotik Kung Fu Kitab 4 Edisi 2016,Rendra Towidjojo,74.800,Komputer-dan-Internet/Internet/163532-Mikrotik-Kung-Fu-Kitab-4-Edisi-2016.html,https://www.bukukita.com/babacms/displaybuku/113532.jpg
76,Mitologi Aztec,Michael A. Schuman,28.050,Sejarah-dan-Budaya/Sejarah-Dunia/107022-Mitologi-Aztec.html,https://www.bukukita.com/babacms/displaybuku/57022.jpg
77,Mitologi Cina,Irene Dea Collier,28.050,Sejarah-dan-Budaya/Kebudayaan/107002-Mitologi-Cina.html,https://www.bukukita.com/babacms/displaybuku/57002.jpg
78,Mommyclopedia: 78 Resep MPASI,"dr. Meta Hanindita, Sp.A",96.800,Orang-Tua-dan-Keluarga/Orang-Tua-dan-Anak/165867-Mommyclopedia:-78-Resep-MPASI.html,https://www.bukukita.com/babacms/displaybuku/115867.jpg
79,Mommyclopedia: Panduan Lengkap Merawat Batita (1-3 Tahun),"dr. Meta Hanindita, Sp.A",86.240,Kesehatan-dan-Lingkungan/Perawatan-Anak/162246-Mommyclopedia:-Panduan-Lengkap-Merawat-Batita.html,https://www.bukukita.com/babacms/displaybuku/112246.jpg
80,Mommyclopedia: Panduan Lengkap Merawat Bayi ( 0-1 Tahun ),"dr. Meta Hanindita, Sp.A",75.680,Orang-Tua-dan-Keluarga/Orang-Tua-dan-Anak/159847-Mommyclopedia:-Panduan-Lengkap-Merawat-Bayi.html,https://www.bukukita.com/babacms/displaybuku/109847.jpg
81,Mommyclopedia: Tanya-jawab tentang nutrisi di 1000 hari pertama kehidupan anak,"dr. Meta Hanindita, Sp.A",55.440,Orang-Tua-dan-Keluarga/Orang-Tua-dan-Anak/155219-Mommyclopedia:-Tanya-jawab-tentang-nutrisi-di-1000-hari-pertama-kehidupan-anak.html,https://www.bukukita.com/babacms/displaybuku/105219.jpg
82,Nebula,Tere Liye,74.800,Buku-Novel/Fiksi/165014-Nebula.html,https://www.bukukita.com/babacms/displaybuku/115014.jpg
83,Negeri Para Bedebah - Cover Baru 2018,Tere Liye,84.480,Buku-Novel/Fiksi/156623-Negeri-Para-Bedebah-Cover-Baru-2018.html,https://www.bukukita.com/babacms/displaybuku/106623.jpg
84,Norwegian Wood - Cover Baru 2018,Haruki Murakami,83.600,Buku-Novel/Romance/156250-Norwegian-Wood-Cover-Baru-2018.html,https://www.bukukita.com/babacms/displaybuku/106250.jpg
85,Nunchi: Seni Membaca Pikiran dan Perasaan Orang Lain--Rahasia Hidup Bahagia dan Sukses dari Korea,Euny Hong,70.400,Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/166121-Nunchi:-Seni-Membaca-Pikiran-dan-Perasaan-Orang-Lain-Rahasia-Hidup-Bahagia-dan-Sukses-dari-Korea.html,https://www.bukukita.com/babacms/displaybuku/116121.jpg
86,"Paket Buku WorkLess, EarnMore the trilogy Part 1 + Part 2",Tung Desem Waringin,288.000,"Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/167595-Paket-Buku-WorkLess,-EarnMore-the-trilogy-Part-1-+-Part-2.html",https://www.bukukita.com/babacms/displaybuku/117595.jpg
87,Panduan Lengkap Menyusun SOP & KPI,"Fajar Nur'aini D.F., M.Psi.",64.175,Ekonomi-dan-Manajemen/Manajemen/165406-Panduan-Lengkap-Menyusun-SOP-&-KPI.html,https://www.bukukita.com/babacms/displaybuku/115406.jpg
88,Pangeran Cilik: Le Petit Prince,Antoine De Saint E.,40.480,Buku-Novel/Anak-Anak/162052-Pangeran-Cilik:-Le-Petit-Prince.html,https://www.bukukita.com/babacms/displaybuku/112052.jpg
89,Pengantar Anatomi Fisiologi Manusia,"Ardhina Nugrahaeni, S.Tr.Keb",54.825,Psikologi-dan-Pengembangan-Diri/Psikologi/165319-Pengantar-Anatomi-Fisiologi-Manusia.html,https://www.bukukita.com/babacms/displaybuku/115319.jpg
90,Perang Baratayudha: Perang Besar Pandawa Dan Kurawa,Zulfan Arif,59.075,Sejarah-dan-Budaya/Sejarah-Indonesia/154011-Perang-Baratayudha:-Perang-Besar-Pandawa-Dan-Kurawa.html,https://www.bukukita.com/babacms/displaybuku/104011.jpg
91,Persuasive Copywriting: Sebuah Seni Menjual Melalui Tulisan,Febri Asiani,37.825,Ekonomi-dan-Manajemen/Manajemen/165425-Persuasive-Copywriting:-Sebuah-Seni-Menjual-Melalui-Tulisan.html,https://www.bukukita.com/babacms/displaybuku/115425.jpg
92,Profit Konsisten Dengan Ichimoku Kinko Hyo,"Anthony L, ANTHONY L",51.040,Ekonomi-dan-Manajemen/Bisnis-Investasi/168237-Profit-Konsisten-Dengan-Ichimoku-Kinko-Hyo.html,https://www.bukukita.com/babacms/displaybuku/118237.jpg
93,Rahasia Sukses Membangun Kekayaan Melalui Bisnis Properti Kost,Iwan Kenrianto,74.800,Ekonomi-dan-Manajemen/Bisnis-Investasi/160779-Rahasia-Sukses-Membangun-Kekayaan-Melalui-Bisnis-Properti-Kost.html,https://www.bukukita.com/babacms/displaybuku/110779.jpg
94,Resolve Conflicts in Your Life,Dale Carnegie,51.040,Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/158971-Resolve-Conflicts-in-Your-Life.html,https://www.bukukita.com/babacms/displaybuku/108971.jpg
95,Rich Dad Poor Dad (Edisi Revisi),Robert T. Kiyosaki,87.120,Inspirasi-dan-Spiritual/Inspirasional/145447-Rich-Dad-Poor-Dad.html,https://www.bukukita.com/babacms/displaybuku/95447.jpg
96,Ronggeng Dukuh Paruk (cover baru 2018),Ahmad Tohari,77.440,Buku-Novel/Sejarah-Fiksi/158723-Ronggeng-Dukuh-Paruk.html,https://www.bukukita.com/babacms/displaybuku/108723.jpg
97,RPUL: Rangkuman Pengetahuan Umum Lengkap,Dimas Dwi Irawan,50.575,Non-Fiksi-Lainnya/Non-Fiksi-Umum/149480-RPUL:-Rangkuman-Pengetahuan-Umum-Lengkap.html,https://www.bukukita.com/babacms/displaybuku/99480.jpg
98,Sang PEMUDA : Merancang Kontribusi Mengokohkan Eksistensi,Elvandi,93.500,Inspirasi-dan-Spiritual/Kiat-Sukses/165275-Sang-PEMUDA-:-Merancang-Kontribusi-Mengokohkan-Eksistensi.html,https://www.bukukita.com/babacms/displaybuku/115275.jpg
99,Sapiens,Yuval Noah Harari,110.000,Sejarah-dan-Budaya/Sejarah-Dunia/157056-Sapiens.html,https://www.bukukita.com/babacms/displaybuku/107056.jpg
100,Secrets of Divine Love: A Spiritual Journey into the Heart of Islam,A. Helwa,132.000,Agama/Islam/167476-Secrets-of-Divine-Love:-A-Spiritual-Journey-into-the-Heart-of-Islam.html,https://www.bukukita.com/babacms/displaybuku/117476.jpg
101,Segala-galanya Ambyar,Mark Manson,79.200,Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/164560-Segala-galanya-Ambyar.html,https://www.bukukita.com/babacms/displaybuku/114560.jpg
102,Sejarah Dunia yang Disembunyikan [Hard Cover],Jonathan Black,114.750,Sejarah-dan-Budaya/Sejarah-Dunia/147087-Sejarah-Dunia-yang-Disembunyikan.html,https://www.bukukita.com/babacms/displaybuku/97087.jpg
103,Sejarah Kelam Kerajaan-Kerajaan Di Inggris,Dian Natali,29.325,Buku-Novel/Sejarah-Fiksi/167621-Sejarah-Kelam-Kerajaan-Kerajaan-Di-Inggris.html,https://www.bukukita.com/babacms/displaybuku/117621.jpg
104,Sejarah Rempah Dari Erotisme sampai Imperialisme,Jack Turner,119.000,Sejarah-dan-Budaya/Sejarah-Indonesia/163315-Sejarah-Rempah-Dari-Erotisme-sampai-Imperialisme.html,https://www.bukukita.com/babacms/displaybuku/113315.jpg
105,Seribu Wajah Ayah,Nurun ala,48.400,Buku-Novel/Fiksi/165374-Seribu-Wajah-Ayah.html,https://www.bukukita.com/babacms/displaybuku/115374.jpg
106,Shaidul Khatir : Be A Winner [Cover Baru],Ibnul Jauzi,152.150,Agama/Islam/146025-Shaidul-Khatir-:-Be-A-Winner.html,https://www.bukukita.com/babacms/displaybuku/96025.jpg
107,Smart Traders Not Gamblers (Cover Baru),Ellen May,86.240,Ekonomi-dan-Manajemen/Bisnis-Investasi/153751-Smart-Traders-Not-Gamblers.html,https://www.bukukita.com/babacms/displaybuku/103751.jpg
108,Soekarno Sebuah Biografi,"Adji Nugroho, S. I P.",58.650,Biografi-dan-Memoar/Biografi/165400-Soekarno-Sebuah-Biografi.html,https://www.bukukita.com/babacms/displaybuku/115400.jpg
109,Start With Why: Cara Pemimpin Besar Menginspirasi Orang untuk Bertindak,Simon Sinek,88.000,Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/162358-Start-With-Why:-Cara-Pemimpin-Besar-Menginspirasi-Orang-untuk-Bertindak.html,https://www.bukukita.com/babacms/displaybuku/112358.jpg
110,Tanya Jawab Hukum Perkawinan & Perceraian,Hukum,27.625,Hukum-dan-Undang-undang/Undang-undang/82434-Tanya-Jawab-Hukum-Perkawinan-&-Perceraian.html,https://www.bukukita.com/babacms/displaybuku/32434.jpg
111,The Answer: Jawaban atas Semua yang Anda Inginkan,Allan & Barbara Pease,87.120,Psikologi-dan-Pengembangan-Diri/Psikologi/160113-The-Answer:-Jawaban-atas-Semua-yang-Anda-Inginkan.html,https://www.bukukita.com/babacms/displaybuku/110113.jpg
112,The Art of War (Sc) Cover Baru Isbn Lama,Andri Wang,51.040,Sejarah-dan-Budaya/Sejarah-Dunia/164151-The-Art-of-War.html,https://www.bukukita.com/babacms/displaybuku/114151.jpg
113,The Deals of Warren Buffet: Bagaimana Buffett Menghasilkan $100 Juta ( LIPPO ) ,Glen Arnold,88.000,Inspirasi-dan-Spiritual/Inspirasional/162884-The-Deals-of-Warren-Buffet:-Bagaimana-Buffett-Menghasilkan-$100-Juta.html,https://www.bukukita.com/babacms/displaybuku/112884.jpg
114,The Lovable Lady Formula,"Jet Veetlev, Kei Savourie, Lex Depraxis",114.224,Buku-Novel/Romance/161119-The-Lovable-Lady-Formula.html,https://www.bukukita.com/babacms/displaybuku/111119.jpg
115,The Midnight Library ( Perpustakaan Tengah Malam ),Matt Haig,92.400,Buku-Novel/Romance/167788-The-Midnight-Library.html,https://www.bukukita.com/babacms/displaybuku/117788.jpg
116,The Power of Habit,Charles Duhigg,79.200,Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/162140-The-Power-of-Habit.html,https://www.bukukita.com/babacms/displaybuku/112140.jpg
117,The Things You Can See Only When You Slow Down,Haemin Sunim,110.000,Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/168076-The-Things-You-Can-See-Only-When-You-Slow-Down.html,https://www.bukukita.com/babacms/displaybuku/118076.jpg
118,Thibbun Nabawi : Cara Sehat Ala Rasulullah,Abu Sakhi,36.400,Inspirasi-dan-Spiritual/Spiritualitas/149247-Thibbun-Nabawi-:-Cara-Sehat-Ala-Rasulullah.html,https://www.bukukita.com/babacms/displaybuku/99247.jpg
119,Think And Grow Rich ,Napoleon Hill,72.160,Psikologi-dan-Pengembangan-Diri/Motivasi/153833-Think-And-Grow-Rich.html,https://www.bukukita.com/babacms/displaybuku/103833.jpg
120,Undang-Undang Informasi & Transaksi Elektronik,Tim Legality,25.075,Hukum-dan-Undang-undang/Undang-undang/150030-Undang-Undang-Informasi-&-Transaksi-Elektronik.html,https://www.bukukita.com/babacms/displaybuku/100030.jpg
121,Who The Hell Are You? Buku Personal Branding oleh Helmy Yahya,Helmy Yahya & Baban S,240.000,Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/167120-Who-The-Hell-Are-You?-Buku-Personal-Branding-oleh-Helmy-Yahya.html,https://www.bukukita.com/babacms/displaybuku/117120.jpg
122,Who Wants To Be A Smiling Investor (New),Lukas Setia Atmaja Dan Thomdean,110.000,Ekonomi-dan-Manajemen/Bisnis-Investasi/161662-Who-Wants-To-Be-A-Smiling-Investor.html,https://www.bukukita.com/babacms/displaybuku/111662.jpg
123,Why? Bencana Alam - Natural Disasters,Yearimdang,96.800,Anak-Anak/Pendidikan-Anak/159352-Why?-Bencana-Alam-Natural-Disasters.html,https://www.bukukita.com/babacms/displaybuku/109352.jpg
124,"WorkLess, EarnMore the trilogy Part 1",Tung Desem Waringin,149.000,"Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/161023-WorkLess,-EarnMore-the-trilogy-Part-1.html",https://www.bukukita.com/babacms/displaybuku/111023.jpg
125,Yang Belum Usai: Kenapa Manusia Punya Luka Batin?,Pijar Psikologi,61.600,Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/165218-Yang-Belum-Usai:-Kenapa-Manusia-Punya-Luka-Batin?.html,https://www.bukukita.com/babacms/displaybuku/115218.jpg
126,"You Are Overthinking! Pada Dasarnya, Semua Akan Baik-Baik Saja",RATNA WIDIA,47.175,"Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/168052-You-Are-Overthinking!-Pada-Dasarnya,-Semua-Akan-Baik-Baik-Saja.html",https://www.bukukita.com/babacms/displaybuku/118052.jpg
127,You Do You: Discovering Life through Experiments & Self-Awareness,Fellexandro Ruby,112.640,Buku-Novel/Remaja/167349-You-Do-You:-Discovering-Life-through-Experiments-&-Self-Awareness.html,https://www.bukukita.com/babacms/displaybuku/117349.jpg
128,Zero To One: Membangun Startup Membangun Masa Depan,Peter Thiel,77.440,Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/160935-Zero-To-One:-Membangun-Startup-Membangun-Masa-Depan.html,https://www.bukukita.com/babacms/displaybuku/110935.jpg
