image_urls,image_name,description,year
https://www.carlogos.org/car-logos/tesla-logo.png,Tesla,Luxury Electric Vehicles,2003-Present
https://www.carlogos.org/car-logos/bmw-logo.png,BMW,Luxury Vehicles,1916-Present
https://www.carlogos.org/car-logos/ferrari-logo.png,Ferrari,Luxury Sports Cars,1947-present
https://www.carlogos.org/car-logos/ford-logo.png,Ford,Mass-Market Cars,1903-Present
https://www.carlogos.org/car-logos/porsche-logo.png,Porsche,Luxury Sports Cars,1931-Present
https://www.carlogos.org/car-logos/honda-logo.png,Honda,Mass-Market Cars,1948-Present
https://www.carlogos.org/car-logos/lamborghini-logo.png,Lamborghini,Luxury Sports Cars,1963-Present
https://www.carlogos.org/car-logos/toyota-logo.png,Toyota,Mass-Market Cars,1937-Present
https://www.carlogos.org/car-logos/bentley-logo.png,Bentley,Ultra-luxury Cars,1919-Present
https://www.carlogos.org/car-logos/maserati-logo.png,Maserati,Luxury Vehicles,1914-Present
https://www.carlogos.org/car-logos/audi-logo.png,Audi,Luxury Vehicles,1909-Present
https://www.carlogos.org/car-logos/jeep-logo.png,Jeep,Sport Utility Vehicles,1941-Present
https://www.carlogos.org/car-logos/subaru-logo.png,Subaru,Mass-Market Cars,1953-Present
https://www.carlogos.org/car-logos/cadillac-logo.png,Cadillac,Luxury Vehicles,1902-Present
https://www.carlogos.org/car-logos/chrysler-logo.png,Chrysler,Luxury Vehicles,1925-Present
https://www.carlogos.org/car-logos/corvette-logo.png,Chevrolet Corvette,Sports Cars,1953-Present
https://www.carlogos.org/car-logos/dodge-logo.png,Dodge,"Performance Cars, Other",1900-Present
https://www.carlogos.org/car-logos/hyundai-logo.png,Hyundai,Mass-Market Cars,1967-Present
https://www.carlogos.org/car-logos/jaguar-logo.png,Jaguar,Luxury Vehicles,1922-Present
https://www.carlogos.org/car-logos/mazda-logo.png,Mazda,Mass-Market Cars,1920-Present
https://www.carlogos.org/car-logos/ford-mustang-logo.png,Ford Mustang,Sports Cars,1964-Present
https://www.carlogos.org/car-logos/nissan-logo.png,Nissan,Mass-Market Cars,1933-Present
https://www.carlogos.org/car-logos/alfa-romeo-logo.png,Alfa Romeo,Luxury Vehicles,1910-Present
https://www.carlogos.org/car-logos/bugatti-logo.png,Bugatti,Luxury Supercars,1909-Present
https://www.carlogos.org/car-logos/buick-logo.png,Buick,Mass-Market Cars,1903-Present
https://www.carlogos.org/car-logos/lexus-logo.png,Lexus,Luxury Vehicles,1983-Present
https://www.carlogos.org/car-logos/rolls-royce-logo.png,Rolls-Royce,Ultra-luxury Cars,1906-Present
https://www.carlogos.org/car-logos/acura-logo.png,Acura,Luxury Vehicles,1986-Present
https://www.carlogos.org/car-logos/aston-martin-logo.png,Aston Martin,Luxury Sports Cars,1913-Present
https://www.carlogos.org/car-logos/chevrolet-logo.png,Chevrolet,Mass-Market Cars,1911-Present
https://www.carlogos.org/car-logos/kia-logo.png,Kia,Mass-Market Cars,1944-Present
https://www.carlogos.org/car-logos/mercedes-benz-logo.png,Mercedes-Benz,Luxury Vehicles,1926-Present
https://www.carlogos.org/car-logos/volkswagen-logo.png,Volkswagen,Mass-Market Cars,1937-Present
https://www.carlogos.org/car-logos/volvo-logo.png,Volvo,Luxury Vehicles,1927-Present
https://www.carlogos.org/car-logos/mclaren-logo.png,McLaren,Luxury Sports Cars,1963-Present
https://www.carlogos.org/car-logos/mitsubishi-logo.png,Mitsubishi,Mass-Market Cars,1970-Present
https://www.carlogos.org/car-logos/gmc-logo.png,GMC,"Pickup Trucks, Other",1911-Present
https://www.carlogos.org/car-logos/infiniti-logo.png,Infiniti,Luxury Vehicles,1989-Present
https://www.carlogos.org/car-logos/lincoln-logo.png,Lincoln,Luxury Vehicles,1917-Present
https://www.carlogos.org/car-logos/peugeot-logo.png,Peugeot,Mass-Market Cars,1896-Present
https://www.carlogos.org/car-logos/pontiac-logo.png,Pontiac,Luxury Vehicles,1926-2010
https://www.carlogos.org/car-logos/saab-logo.png,Saab,Manufacturer,1937-Present
https://www.carlogos.org/car-logos/genesis-logo.png,Genesis,Luxury Vehicles,2015-Present
https://www.carlogos.org/car-logos/suzuki-logo.png,Suzuki,Economy Cars,1909-Present
https://www.carlogos.org/car-logos/citroen-logo.png,Citroën,Mass-Market Cars,1919-Present
https://www.carlogos.org/car-logos/fiat-logo.png,Fiat,Small Cars,1899-Present
https://www.carlogos.org/car-logos/lotus-logo.png,Lotus,"Sports Cars, Racing Cars",1952-Present
https://www.carlogos.org/car-logos/mini-logo.png,Mini,Luxury Small Cars,1959-Present
https://www.carlogos.org/car-logos/peterbilt-logo.png,Peterbilt,Medium and Heavy-duty Trucks,1939-Present
https://www.carlogos.org/car-logos/saturn-logo.png,Saturn,Compact Cars,1985-2010
https://www.carlogos.org/car-logos/bmw-m-logo.png,BMW M,High Performance,1972-Present
https://www.carlogos.org/car-logos/general-motors-logo.png,General Motors,Manufacturer,1908-Present
https://www.carlogos.org/car-logos/kenworth-logo.png,Kenworth,Medium and Heavy-duty Trucks,1912-Present
https://www.carlogos.org/car-logos/ktm-logo.png,KTM,Sports Cars,1934-Present
https://www.carlogos.org/car-logos/land-rover-logo.png,Land Rover,Luxury Sport Utility Vehicles,1948-Present
https://www.carlogos.org/car-logos/maybach-logo.png,Maybach,Ultra-luxury Cars,1909-Present
https://www.carlogos.org/car-logos/mercury-logo.png,Mercury,Entry-Level Luxury Cars,1938-2011
https://www.carlogos.org/car-logos/oldsmobile-logo.png,Oldsmobile,Luxury Vehicles,1897-2004
https://www.carlogos.org/car-logos/renault-logo.png,Renault,Mass-Market Cars,1899-Present
https://www.carlogos.org/car-logos/dodge-viper-logo.png,Dodge Viper,Sports Cars,1992-Present
https://www.carlogos.org/car-logos/koenigsegg-logo.png,Koenigsegg,Luxury Supercars,1994-Present
https://www.carlogos.org/car-logos/mack-logo.png,Mack,Medium and Heavy-duty Trucks,1900-Present
https://www.carlogos.org/car-logos/scion-logo.png,Scion,Sport Compact Vehicles,2003-2016
https://www.carlogos.org/car-logos/skoda-logo.png,Škoda,Mass-Market Cars,1895-Present
https://www.carlogos.org/car-logos/daewoo-logo.png,Daewoo,Economy Cars,1982-2002
https://www.carlogos.org/car-logos/daimler-logo.png,Daimler,Manufacturer,1886-Present
https://www.carlogos.org/car-logos/opel-logo.png,Opel,Mass-Market Cars,1862-Present
https://www.carlogos.org/car-logos/datsun-logo.png,Datsun,"Light Trucks, Economy Cars",1931-Present
https://www.carlogos.org/car-logos/holden-logo.png,Holden,Mass-Market Cars,1856-Present
https://www.carlogos.org/car-logos/smart-logo.png,Smart,Luxury Small Cars,1994-Present
https://www.carlogos.org/car-logos/alpine-logo.png,Alpine,"Sports Cars, Racing Cars",1955-Present
https://www.carlogos.org/car-logos/ds-logo.png,DS,Luxury Vehicles,2009-Present
https://www.carlogos.org/car-logos/navistar-logo.png,Navistar,Manufacturer,1993-Present
https://www.carlogos.org/car-logos/nissan-nismo-logo.png,Nissan Nismo,High Performance,1984-Present
https://www.carlogos.org/car-logos/pagani-logo.png,Pagani,Supercars,1992-Present
https://www.carlogos.org/car-logos/rover-logo.png,Rover,Manufacturer,1878-2005
https://www.carlogos.org/car-logos/vauxhall-logo.png,Vauxhall,Mass-Market Cars,1857-Present
https://www.carlogos.org/car-logos/ariel-logo.png,Ariel,Motor Vehicles,2001-Present
https://www.carlogos.org/car-logos/isuzu-logo.png,Isuzu,"Trucks, Bus",1934-Present
https://www.carlogos.org/car-logos/paccar-logo.png,Paccar,Manufacturer,1905-Present
https://www.carlogos.org/car-logos/tata-logo.png,Tata,Manufacturer,1945-Present
https://www.carlogos.org/car-logos/abarth-logo.png,Abarth,Racing cars,1949-Present
https://www.carlogos.org/car-logos/hummer-logo.png,Hummer,Sport Utility Vehicles,1992-2010
https://www.carlogos.org/car-logos/seat-logo.png,SEAT,Compact Cars,1950-Present
https://www.carlogos.org/car-logos/karma-logo.png,Karma,Luxury Electric Vehicles,2015-Present
https://www.carlogos.org/car-logos/lucid-logo.png,Lucid,Luxury Electric Vehicles,2007-Present
https://www.carlogos.org/car-logos/saleen-logo.png,Saleen,Supercars,1984-Present
https://www.carlogos.org/car-logos/studebaker-logo.png,Studebaker,"Wagons, Buggies, Carriages",1852-1967
https://www.carlogos.org/car-logos/western-star-logo.png,Western Star,Heavy-duty Trucks,1967-Present
https://www.carlogos.org/car-logos/mercedes-amg-logo.png,Mercedes-AMG,High Performance,1967-Present
https://www.carlogos.org/car-logos/hennessey-logo.png,Hennessey,Supercars,1991-Present
https://www.carlogos.org/car-logos/audi-sport-logo.png,Audi Sport,High Performance,1983-Present
https://www.carlogos.org/car-logos/dacia-logo.png,Dacia,Economy Cars,1966-Present
https://www.carlogos.org/car-logos/daihatsu-logo.png,Daihatsu,"Automobiles, Engines",1907-Present
https://www.carlogos.org/car-logos/fisker-logo.png,Fisker,Electric Vehicles,2007-2014
https://www.carlogos.org/car-logos/geo-logo.png,Geo,Compact Cars,1989-1997
https://www.carlogos.org/car-logos/tesla-logo.png,Tesla,Luxury Electric Vehicles,2003-Present
https://www.carlogos.org/car-logos/bmw-logo.png,BMW,Luxury Vehicles,1916-Present
https://www.carlogos.org/car-logos/ferrari-logo.png,Ferrari,Luxury Sports Cars,1947-present
https://www.carlogos.org/car-logos/ford-logo.png,Ford,Mass-Market Cars,1903-Present
https://www.carlogos.org/car-logos/porsche-logo.png,Porsche,Luxury Sports Cars,1931-Present
https://www.carlogos.org/car-logos/honda-logo.png,Honda,Mass-Market Cars,1948-Present
https://www.carlogos.org/car-logos/lamborghini-logo.png,Lamborghini,Luxury Sports Cars,1963-Present
https://www.carlogos.org/car-logos/toyota-logo.png,Toyota,Mass-Market Cars,1937-Present
https://www.carlogos.org/car-logos/bentley-logo.png,Bentley,Ultra-luxury Cars,1919-Present
https://www.carlogos.org/car-logos/maserati-logo.png,Maserati,Luxury Vehicles,1914-Present
https://www.carlogos.org/car-logos/audi-logo.png,Audi,Luxury Vehicles,1909-Present
https://www.carlogos.org/car-logos/jeep-logo.png,Jeep,Sport Utility Vehicles,1941-Present
https://www.carlogos.org/car-logos/subaru-logo.png,Subaru,Mass-Market Cars,1953-Present
https://www.carlogos.org/car-logos/cadillac-logo.png,Cadillac,Luxury Vehicles,1902-Present
https://www.carlogos.org/car-logos/chrysler-logo.png,Chrysler,Luxury Vehicles,1925-Present
https://www.carlogos.org/car-logos/corvette-logo.png,Chevrolet Corvette,Sports Cars,1953-Present
https://www.carlogos.org/car-logos/dodge-logo.png,Dodge,"Performance Cars, Other",1900-Present
https://www.carlogos.org/car-logos/hyundai-logo.png,Hyundai,Mass-Market Cars,1967-Present
https://www.carlogos.org/car-logos/jaguar-logo.png,Jaguar,Luxury Vehicles,1922-Present
https://www.carlogos.org/car-logos/mazda-logo.png,Mazda,Mass-Market Cars,1920-Present
https://www.carlogos.org/car-logos/ford-mustang-logo.png,Ford Mustang,Sports Cars,1964-Present
https://www.carlogos.org/car-logos/nissan-logo.png,Nissan,Mass-Market Cars,1933-Present
https://www.carlogos.org/car-logos/alfa-romeo-logo.png,Alfa Romeo,Luxury Vehicles,1910-Present
https://www.carlogos.org/car-logos/bugatti-logo.png,Bugatti,Luxury Supercars,1909-Present
https://www.carlogos.org/car-logos/buick-logo.png,Buick,Mass-Market Cars,1903-Present
https://www.carlogos.org/car-logos/lexus-logo.png,Lexus,Luxury Vehicles,1983-Present
https://www.carlogos.org/car-logos/rolls-royce-logo.png,Rolls-Royce,Ultra-luxury Cars,1906-Present
https://www.carlogos.org/car-logos/acura-logo.png,Acura,Luxury Vehicles,1986-Present
https://www.carlogos.org/car-logos/aston-martin-logo.png,Aston Martin,Luxury Sports Cars,1913-Present
https://www.carlogos.org/car-logos/chevrolet-logo.png,Chevrolet,Mass-Market Cars,1911-Present
https://www.carlogos.org/car-logos/kia-logo.png,Kia,Mass-Market Cars,1944-Present
https://www.carlogos.org/car-logos/mercedes-benz-logo.png,Mercedes-Benz,Luxury Vehicles,1926-Present
https://www.carlogos.org/car-logos/volkswagen-logo.png,Volkswagen,Mass-Market Cars,1937-Present
https://www.carlogos.org/car-logos/volvo-logo.png,Volvo,Luxury Vehicles,1927-Present
https://www.carlogos.org/car-logos/mclaren-logo.png,McLaren,Luxury Sports Cars,1963-Present
https://www.carlogos.org/car-logos/mitsubishi-logo.png,Mitsubishi,Mass-Market Cars,1970-Present
https://www.carlogos.org/car-logos/gmc-logo.png,GMC,"Pickup Trucks, Other",1911-Present
https://www.carlogos.org/car-logos/infiniti-logo.png,Infiniti,Luxury Vehicles,1989-Present
https://www.carlogos.org/car-logos/lincoln-logo.png,Lincoln,Luxury Vehicles,1917-Present
https://www.carlogos.org/car-logos/peugeot-logo.png,Peugeot,Mass-Market Cars,1896-Present
https://www.carlogos.org/car-logos/pontiac-logo.png,Pontiac,Luxury Vehicles,1926-2010
https://www.carlogos.org/car-logos/saab-logo.png,Saab,Manufacturer,1937-Present
https://www.carlogos.org/car-logos/genesis-logo.png,Genesis,Luxury Vehicles,2015-Present
https://www.carlogos.org/car-logos/suzuki-logo.png,Suzuki,Economy Cars,1909-Present
https://www.carlogos.org/car-logos/citroen-logo.png,Citroën,Mass-Market Cars,1919-Present
https://www.carlogos.org/car-logos/fiat-logo.png,Fiat,Small Cars,1899-Present
https://www.carlogos.org/car-logos/lotus-logo.png,Lotus,"Sports Cars, Racing Cars",1952-Present
https://www.carlogos.org/car-logos/mini-logo.png,Mini,Luxury Small Cars,1959-Present
