no,Nama Perusahaan,Grup,Alamat,Telepon 1,Telepon 2,Fax
412,"Sari Aditya Loka, PT",Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung      Jakarta13930",(021)4616555,,(021)4616550
413,Sari Lembah Subur (pirtrans),Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung Jakarta13930",(021)4616555,,(021)4616550
414,"Sari Lembah Subur, PT",Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung      Jakarta13930",(021)4616555,,(021)4616550
415,Sarpindo Graha Sawit, , ,,, 
416,"Satya Agung, PT", ,"Jl.Asia, No.137 Medan, North Sumatra",061-717599,,061-717420
417,"Satya Kisma Utama, PT",Sinar Mas,"JITJ, 9-10th Floor, Jl.Mangga Dua Raya Jakarta 14430",021-2601070,,021-2601080
418,"Saudara Sedjati Luhur, PT",RGM,"BNI Building, 20th Floor, Jl.Jend.Sudirman Kav.1 Jakarta 10220",021-5707500,,021-5701771
419,"Sawindo Kencana, PT", ,"Graha Kencana Building 8th Floor, Jl.Raya Perjuanagan No.88      Kebon Jeruk Jakarta Barat",021-5325905,,021-5359070
420,Sawir Jambi Lestari (pirtrans),Asiatic Persada,"Price Water House,12th floor,Room 1210 Jl.H.R.Rasuna Said,Kav.C-3,Jakarta      Selatan",(021)5212914-15,,(021)5212918
421,"Sawir Jambi Lestari, PT",Asiatic Persada,"Price Water House,12th floor,Room 1210 Jl.H.R.Rasuna Said,Kav.C-3,Jakarta      Selatan",(021)5212914-15,,(021)5212918
422,Sawit Asahan Indah,Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung      Jakarta13930",(021)4616555,,(021)4616550
423,"Sawit Desa Makmur, PT",Asiatic Persada,"Price Water House,12th floor,Room 1210 Jl.H.R.Rasuna Said,Kav.C-3,Jakarta      Selatan",(021)5212914-15,,(021)5212918
424,Sawit Mas Sejahtera,Sinar Mas,"JITJ, 5th Floor, Jl.Mangga Dua Raya Jakarta 14430",021-601796,6017998,021-6016181
425,"Sawit Selatan, PT",Tania Selatan,Jl.Basuki Rahmat No.788 Palembang 30127 South Sumetera,"0711-811901,811921",,0711-811585
426,"Sebatin, PT", ,"Jakarta Theater 4th Floor, Jl.MH.Thamrin No.9 Jakarta Pusat",021-330837,3158614,021-3159883
427,"Sedang Tengah, PT", ,"Jl.Kunyit No.15 Medan,      North Sumatera",061-322318,, 
428,Sekar Bumi Alam Lestari,Sekar, ,,, 
429,"Selatan Jaya Permai, PT",Tania Selatan,Jl.Basuki Rahmat No.788 Palembang 30127 South Sumetera,0711-811901,811921,0711-811585
430,Semadam, , ,,, 
431,"Semadam, PT", ,"Jl.Nibung Raya      No.93, Medan, North Sumatera",061-526852,527452,061-527452
432,"Sembada Senah Maju, PT", ,"Jl.Teuku Umar No.10 Medan, North Sumatera",061- 555457,555472,061- 553819
433,"Senyiur Permai, PT", ,"Jl.Gajah Mada No.37, Samarinda, Kalimantan Timur",,, 
434,"Serba Huta Jaya, PT", ,"Jl.KH.Ahmad Dahlan, No.21 Rantau Prapat, North Sumatera",0624-21549,, 
435,"Serdang Hilir, PT", ,"Jl.Kunyit No.15 Medan,      North Sumatera",061-322318,, 
436,"Serdang Hulu, PT", ,"Jl.Ir.H.Juanda No.53, Medan, North Sumatera",061-327548,,061-515586
437,"Serikat Putra, PT",Salim," Central      Plaza, 20-21st Floor, Jl.Jend.Sudirman Kav.47-48 Jakarta 12930",021-5702288,,021-5702244
438,"Sewangi Sejati Luhur, PT", ,"Jl.Ir.H.Juanda No.37, Medan, North Sumatera",061- 569800,,061- 564247
439,"Siak Seraya, PT", ,"Jl.Prof.M.Yamin SH No.30 B, Peka Baru, Riau",0761-33789,33729,0761-33775
440,"Sijabut, PT", ,"Jl.HOS.Cokroaminoto, No.16, Medan, North Sumatera",061-525864,,061-561076
441,"Silvana Budipratama, PT", ,"Jl.Cempaka Putih IV B, No.1 Jakarta Pusat",021- 4205842/43,,021- 4205844
442,"Simpang Kiri Plantation, PT",Tolan Tiga, Jl.Let.Jen.S.Parman No.217 Medan 20112 North Sumatera,061-552043,,061-520908
443,"Sinar Dinamika Kapuas, PT",Lyman,"Jl.Abdul Muis No.50, Jakarta Pusat",021-3800051,,021-3810928/4
444,"Sinar Gunung Sawit Raya, PT", ,Jl.Cakrawati No 17 Medan North Sumatera,061-565338,,061-538596
445,Sinar Kencana Inti Perkasa,Sinar Mas,"JITJ, 5th Floor, Jl.Mangga Dua Raya Jakarta 14430",021-601796,6017998,021-6016181
446,"Sinar Lapiga, PT", ,"Jl.Merbabu No.34 B      Medan, North Sumatera",061-553831,519225, 
447,"Sinar Pandawa, PT", ,"Jl.Kejaksaaan No.7,      Medan, North Sumatera",061-551447,570855,061-562364
448,"Singaland Asetama, PT", ,"Jl.Barito Hulu No.28, Banjarmasin, South Kalimantan",0511- 56888,65781,0511- 65775
449,"Sisiriau, PT",Napan,"Gedung Bank EXIM, 3rd A Floor, Jl.Tanjung Karang No.3-4a Jakarta 10230",021-3913650/52,,021-3148369
450,"Smart Corporation, PT",Sinar Mas,"JITJ Building, 9-10th Floor, Jl.Mangga Dua Raya Jakarta 14430",021-26010188,,021-2601059
451,Socfindo II,Socfin,"Jl.Kolonel Laut Yos Sudarso Medan,North Sumatra",061-616066,,061-614390
452,Socfindo II,Socfin,"Jl.Kolonel Laut Yos Sudarso Medan,North Sumatra",061-616066,,061-614390
453,"Socfindo, PT",Socfin,"Jl.Kolonel Laut Yos Sudarso Medan,North Sumatra",061-616066,,061-614390
454,"Soeloeng Laut, PT", ,"Jl.HOS.Cokroaminoto, No.16, Medan, North Sumatera",061- 525864,,061- 561076
455,"Sri Kuala, PT",Salim,Jl.Kuala Simpang Aceh Timur D.I.Aceh,0641- 31126,,0641- 31380
456,"Sri Perlak, PT", ,"Jl.HOS.Cokroaminoto, No.16, Medan, North Sumatera",061-525864,, 
457,"Sri Rahayu Agung, PT", ,Jl.KH.Wahid Hasyim No.59 Medan North Sumatera,061- 546671,, 
458,"Sri Timur, PT", ,JL.A.Yani No.19 A Ranto Prapat Labuhan Batu Sumatera Utara,061-518364,, 
459,"Subur Arum Makmur I, II", ," Wisma GKBI, 31st Floor, Jl.Jend.Sudirman, Kav 28 Jakarta Selatan",021-5740834,,021-5740837
460,"Subur Arum Makmur, PT",Surya Dumai," Wisma GKBI, 31st Floor, Jl.Jend.Sudirman, Kav 28 Jakarta      Selatan",021-5740834,,021-5740837
461,"Subur Ladang Harapan, PT",Benua Indah,"Jl.Gunung Sahari Raya,No.1 Blok A,No.8-9, 2nd Floor Jakarta Pusat",(021)6299650,,(021)6391761
462,"Sugih Indah Sentosa, PT", ,"Jl.Ir.H.Juanda No.33, Pekan Baru Riau",0761-33378,,0761-34753
463,Sukajadi Sawit Mekar, ,"Jl.Tjilik Riwut Km 2,5 No.003, Palangkaraya, Kalteng",,, 
464,"Sukajadi Sawit Mekar, PT", ,"Jl.Tjilik Riwut Km 2,5 No.003, Palangkaraya, Kalteng",,, 
465,"Sukses Tani Nusa Subur, PT",Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung Jakarta13930",(021)4616555,,(021)4616550
466,"Sulaiman Saleh H,UPP , PT",Monopoli Raya,"Jl.Sunggal No.91 Medan, North Sumatera",061-851744,859744,061-851625
467,"Sulawesi Trans Mandiri, PT", ,"Manggala Wanabhakti Building 3rd Flroor, Room 304, Jl.Jend.Gatot      Subroto Jakarta 10270",021-5732793,,021-5710437
468,"Sulawesi Wanabakti Lestari I, PT", ,"Manggala Wanabhakti Building 3rd Flroor, Room 304, Jl.Jend.Gatot      Subroto Jakarta 10270",021-5732793,,021-5710437
469,"Sumber Andalas K I, II",Incasi Raya,"Jl.Diponegoro,No.7, Padang 25117,West Sumatra",(0751)33147,31332,(0751)32597
470,"Sumber Andalas Kencana, PT",Incasi Raya,"Jl.Diponegoro,No.7, Padang 25117,West Sumatra",(0751)33147,31332,(0751)32597
471,"Sumber Asih , PT",Monopoli Raya,"Jl.Sunggal No.91 Medan, North Sumatera",061-851744,859744,061-851625
472,"Sumber Harapan Sarana, PT", ,"Jl.Cideng Barat No.28, AA Jakarta 10140",021-3802828,,021-359329
473,"Sumber Indah Perkasa, PT",Sinar Mas,"JITJ, 5th Floor, Jl.Mangga Dua Raya Jakarta 14430",021-601796,6017998,021-6016181
474,Sumber Jaya Indah N, , ,,, 
475,"Sumber Mahardika Graha, PT", ,Jl.Letjen Suprapto No.8 A-B Jakarta 10530,021- 4203012,4242605,021-4203011
476,"Sumber Sawit Makmur, PT", ,"Jl.Samanhudi No.15 Medan, North Sumatera",061-516076,53887,061-518611
477,"Sumber Tani Agung, PT", ,"Jl.Raya Perniagaan Baru N0.2 AC Medan, North Sumatera",061- 513243,556262,061- 324615
478,"Sungei Pinang, PT", ,"Jl.Jenggala, No.1 AB, Medan North Sumatera",061-567518,,061-519418
479,"Supra Matra Abadi, PT",RGM,"BNI Building, 10th Floor, Jl.Jend.Sudirman Kav.1 Jakarta 10220",021-5707500,,021-5701771
480,"Surya Barokah, PT", ,"Bank Pasifik Building, 10th Floor, Jl.Jend.Sudirman Kav.7-8 Jakarta 10220",,, 
481,"Surya Borneo Asri, PT", ,"Jl.DR.Setiabudi, No.223, Pontianak, West Kalimantan",0561- 30468,41677,0561- 41684
482,"Surya Bratasena Plantation, PT", ,"Jl.Kedoya Baru, Blok A-IV/5 Kebon Jeruk, Jakarta Barat",021- 5801462,,021- 5801463
483,"Surya Deli, PT", ,"Jl.KH.A..Dahlan No.42, Pontianak, West Kalimantan",0561-30926,, 
484,Surya Dumah Agrindo,Surya Dumai,Jl.Kuantan Raya No.6 Pekan Baru,0761- 33600,, 
485,"Surya Dumai Agrindo, PT",Surya Dumai," Wisma GKBI, 31st Floor, Jl.Jend.Sudirman, Kav 28 Jakarta      Selatan",021-5740834,,021-5740837
486,Surya Indah Nusantara Pagi,Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung Jakarta13930",(021)4616555,,(021)4616550
487,Surya Inti Sarijaya, , ,,, 
488,"Surya Intisari Raya, PT",Surya Dumai," Wisma GKBI, 31st Floor, Jl.Jend.Sudirman, Kav 28 Jakarta      Selatan",021-5740888,,021-5740388
489,"Surya Makmur, PT",Tolan Tiga, Jl.Let.Jen.S.Parman No.217 Medan 20112 North Sumatera,061- 552043,,061- 520908
490,"Surya Nataye, PT",Monopoli Raya,"Jl.Sunggal No.91 Medan, North Sumatera",061-851744,859744,061-851625
491,Surya Panen Subur,Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung      Jakarta13930",(021)4616555,,(021)4616550
492,Surya Raya Lestari,Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung      Jakarta13930",(021)4616555,,(021)4616550
493,Surya Raya Lestari (pirtrans),Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung Jakarta13930",(021)4616555,,(021)4616550
494,"Suryaindah Nusantarapagi, PT",Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung Jakarta13930",(021)4616555,,(021)4616550
495," Swadaya Andika, PT",Salim," Central      Plaza, 20th Floor, Jl.Jend.Sudirman Kav.47-48 Jakarta 12930",021-5702288,,021-5702244
496,"Swakarsa Sinar Sentosa, PT",Astra,"JL.Ir.Haji Juanda III, No.24, Jakarta Pusat",,, 
497,Swakarya Adhi Usaha,Sinar Mas,"JITJ, 5th Floor, Jl.Mangga Dua Raya Jakarta 14430",021-601796,6017998,021-6016181
498,Swarna Nusa Sentosa, ,"Jl.Jend.Sudirman 243, Sungai Liat, Bangka Sumatera Selatan",,, 
499,Swarna Nusa Sentosa, ,"Jl.Pemuda No.10 Sungai Liat, Bangka, South Sumatera",0717-93511/12,,0717-93514
500,"Syubrasta, PT", ,Jl.Sultan Iskandar Muda No.222 Medan North Sumatera,061-525335,523241, 
501,"Tamaco Grah Krida,PT",Salim," Central Plaza, 7th Floor, Jl.Jend.Sudirman Kav.47 Jakarta 12930",021-6702288,,021-5702244
502,"Tambera, PT", ,"Jl.Mesjid 129, Medan, North Sumatera",061-518296,, 
503,"Tamiang Sari, PT", ,Jl.Ampel No.62 Medan North      Sumatera,061- 511351,, 
504,"Tanah Abang Indonesia, PT",Tolan Tiga, Jl.Let.Jen.S.Parman No.217 Medan 20112 North Sumatera,061-552043,,061-520908
505,Tanah Tanjung Plateu, ," Jl.Dana Indah Barat Blok A9 No.7, Sunter Jaya, Jakarta Utara",,, 
506,"Tanah Tanjung Plateu, PT", ," Jl.Dana Indah Barat Blok A9 No.7, Sunter Jaya, Jakarta Utara",,, 
507,Tania Selatan,Tania Selatan,Jl.Basuki Rahmat No.788 Palembang 30127 South Sumetera,0711-811901,811921,0711-811585
508,"Tanjung Siram, PT",Tolan Tiga,"c/o PT.Tolan Tiga, Jl.S.Parman No.217 Medan North Sumatera",061-552043,,061-520908
509,"Tapian Nadenggan, PT",Sinar Mas,"Wisma BII,7th Floor Jl Diponegoro,No.18 Medan,North Sumatra",061-555729,,061-554883
510,"Tara Bintang Nusa, PT", ,"Jl.Merbabu No.34 B      Medan, North Sumatera",061-519225,,061-553831
511,"Tasik Raja, PT", ,"BBD Building 3rd, Jl.Imam Bonjol No.16 D Medan North Sumatera",061- 550496,,061- 555736
512,Teguh Sempurna,Salim," Central Plaza,      20-21st Floor, Jl.Jend.Sudirman Kav.47-48 Jakarta 12930",021-5702288,,021-5702244
513,"Telaga Hikmah, PT",Tania Selatan,Jl.Basuki Rahmat No.788 Palembang 30127 South Sumetera,"0711-811921,811797",,0711-811585
514,"Telentam Bungoraya, PT",Sinar Mas,"JITJ 10th Floor, Jl.Mangga Dua Raya Jakarta 14430",021-2601070,,021-2601080
515,Tidar Kerinci Agung I & II,Hashim,"BRI II,Building, 26th floor Jl.Jendral Sudirman, No.44-46 Jakarta 10210",(021)5713746,,(021)5713861
516,"Tidar Kerinci Agung, PT",Hashim,"BRI II,Building, 26th floor Jl.Jendral Sudirman, No.44-46 Jakarta 10210",(021)5713746,,(021)5713861
517,"Tidar Sungkai Sawut, PT",Hashim,"BRI II,Building, 26th floor Jl.Jendral Sudirman, No.44-46 Jakarta 10210",(021)5713746,,(021)5713861
518,"Timbang Deli Indonesia, PT",Tolan Tiga, Jl.Let.Jen.S.Parman No.217 Medan 20112 North Sumatera,061-520908,522053,061-520908
519,"Timurjaya Agrokarya, PT",Sinar Mas,"JITJ Building, 5th Floor, Jl.Mangga Dua Raya Jakarta 14430",021-6017996/86,,021-6016181
520,"Tinggi Raja, PT", ,"Jl.Bukit Barisan No.61 Medan, North Sumatera",061-529170,, 
521,"Tirta Madu, PT",Surya Dumai," Wisma GKBI, 31st Floor, Jl.Jend.Sudirman, Kav 28 Jakarta Selatan",021-5740834,,021-5740837
522,Tirta Mulia,Surya Dumai,Jl.Kuantan Raya No.6 Pekan Baru,,, 
523,"Tirta Mulya, PT",Surya Dumai,Jl.Kuantan Raya No.6 Pekan Baru,,, 
524,"Tiunggumba Agro Perkasa, PT", ,Jl.Batu Ceper No 20 Jakarta 10120,021-3852665,,021-3813765
525,"Tolan Tiga Indonesia, PT",Tolan Tiga, Jl.Let.Jen.S.Parman No.217 Medan 20112 North Sumatera,061-552043,,061-520908
526,"Torganda, PT", ,Jl.Abdulah Lubis      No.26 Medan North Sumatera,061-551950,543555,061-556378
527,Tradisi Mas Sejahtera,Sinar Mas,"JITJ, 5th Floor, Jl.Mangga Dua Raya Jakarta 14430",021-601796,6017998,021-6016181
528,Tradisi Sawit Mandiri Utama,Sinar Mas,"JITJ, 5th Floor, Jl.Mangga Dua Raya Jakarta 14430",021- 601796,6017998,021-6016181
529,"Transco Pratama, PT",Incasi Raya,"Jl.Diponegoro,No.7, Padang 25117,West Sumatra",(0751)32044,34858,(0751)32597
530,"Tri Bakti Sari Mas, PT", ,"Jl.Saleh Abbas No.50 B Pekan Baru, Riau",0761-34914,34892,0761-34891
531,Tri Sangga Guna I, ,"Jl.Kopi No.18 A, Jakarta Barat",021- 6900808,6900909,021-6900707
532,Tri Sangga Guna II, ,"Jl.Kopi No.18 A, Jakarta Barat",021- 6900808,6900910,021-6900707
533,"Tri Sangga Guna, PT", ,"Jl.Kopi No.18 A, Jakarta Barat",021- 6900808,6900911,021-6900707
534,"Trimitra Sumber perkasa, PT",Napan,"Gedung Bank EXIM, 3rd A Floor, Jl.Tanjung Karang No.3-4a Jakarta 10230",021-3913650/52,,021-3148369
535,Trisetia Usaha Mandiri, , ,,, 
536,Tulas Sakti Jaya, , ,,, 
537,"Tunas Baru Lampung, PT",Sungai Budi,"Wisma Budi 8-9th Floor, Jl.HR.Rasuna Said Kav.C-6, Jakarta 12940",021-5213383,,021-5213282
538,"Tunas Sawaerma, PT", ,"Eka Life Building 15th Floor, Jl.MT.Haryono Kav.62 Jakarta 12780",021- 7975959,,021- 7976404
539,"Tunggal Mitra Plantation, PT",Salim," Central      Plaza, 20- 21st Floor, Jl.Jend.Sudirman Kav.47-48 Jakarta 12930",021- 5702288,,021- 5702244
540,"Tunggal Prakarsa Plantations, PT",Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung Jakarta13930",(021)4616555,,(021)4616550
541,"Tunggal Yunus Estate, PT",RGM,"BNI Building, 10th Floor, Jl.Jend.Sudirman Kav.1 Jakarta 10220",021-5707500,,021-5701771
542,"Ubertraco, PT", ,"Jl.Cik Diktiro No.8 M, Medan North Sumatera",061-576743,57596,061-549268
543,"Umada, PT",Tania Selatan,Jl.Basuki Rahmat No.788 Palembang 30127 South Sumetera,0721-811921,811901,0711-811585
544,"Unggul Pratama Sembada, PT",Gajah Tunggal,"Wisma Hayam Wuruk 14th Floor, Jl Hayam Wuruk No.8 , Jakarta 10210",(021)3804784,, 
545,Unggul Widya Teknologi Lestari (Pirtrans), ,"Harmoni Plaza Blok E/5, Jl.Suryo Pranoto No.2 Jakarta Pusat",021-6330355,6332058,021-6332088
546,"Unggul Widya Teknologi Lestari, PT", ,"Harmoni Plaza Blok E/5, Jl.Suryo Pranoto No.2 Jakarta Pusat",021- 6330355,6332058,021-6332088
547,Uni Primacom, , ,,, 
548,"United Kingdom Indonesia Plantation, PT", ,"BBD Building 5rd, Jl.Imam Bonjol No.16 D Medan North Sumatera",061- 550496,556112,061- 555736
549,"Usaha Semesta Jaya, PT", ,Jl.Berkah No 41 Jakarta 12861,021-8304763,8351269,021-8309734
550,Varita Majutama, , ,,, 
551,Wahana Trans Sembada, ,"Jl.Tanah Abang II,No.1 G Jakarta 10160",021- 3861010,3846767, 
552,"Wahana Trans Sembada, PT", ,"Jl.Tanah Abang I, No1 G Jakarta 10160",021-3861010,, 
553,Wana Jingga Timur, , ,,, 
554,"Wana sari Nusantara , PT",RGM,Jl.Garuda No.96 Jakarta Pusat,021-4241908,,021-4240638
555,"Wana sari Nusantara I,II",RGM,Jl.Garuda No.96 Jakarta Pusat,021-4241908,,021-4240638
556,"Wana Sawit Subur Lestari, PT", ,"Jl.Bhakti No.17 Kebayoran Baru, Jakarta 11120",021- 5264284/5,,021- 52211361
557,"Warisan Telma, PT", ,"Jl.Mangkubumi No.15 A Medan, North Sumatera",061-322748,511315, 
558,"Waru Kaltim Plantations, PT",Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung Jakarta13930",(021)4616555,,(021)4616550
559,"Waru Kaltim Plantations, PT",Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung Jakarta13930",(021)4616555,,(021)4616550
560,"Winarupati Sepang Lestari, PT", ,"Jl.Nangka No.283 B Pekan Baru, Riau",0761-35219,,0761-35219
561,"Windu Nabatindo Lestari, PT",Napan,"Gedung Bank EXIM, 3rd A Floor, Jl.Tanjung Karang No.3-4a Jakarta 10230",021-3913650/52,,021-3148369
562,"Windu Nabatindo Pratama, PT",Napan,"Gedung Bank EXIM, 3rd A Floor, Jl.Tanjung Karang No.3-4a Jakarta 10230",021-3913650/52,,021-3148369
563,"Wirya Perca, PT", ,Jl.Biliton No.7 Jakarta Pusat,021-3107064,3107476,021-334807
564,Wonorejo, , ,,, 
565,"Woyla Raya Abadi, PT", ,"Cawang Kencana Building 2nd Floor, Jl.Mayjen Sutoyo Kav.22 Jakarata Timur",021-8002574,8011370,021-8002574
 , , , ,,, 
566,Yayasan Cik Diribe, , ,,, 
 , , , ,,, 
