no,title,link
1,Dunia Roh,https://wetv.vip/play/wzx7pbebgpxlqqr-Dunia-Roh
2,BORUTO: NARUTO NEXT GENERATIONS,https://wetv.vip/play/bxhkltz7d0xaqhl-BORUTO-NARUTO-NEXT-GENERATIONS
3,Hunter x Hunter,https://wetv.vip/play/4zwsvk310fss01s-Hunter-x-Hunter
4,Inuyasha,https://wetv.vip/play/lya13ujpxsnyuov-Inuyasha
5,Serangan Titan: Musim Terakhir,https://wetv.vip/play/ibmd8s59lyho7ml-Serangan-Titan-Musim-Terakhir
6,Dragon Ball Super,https://wetv.vip/play/gb289jyr8q32e3m-Dragon-Ball-Super
7,One Piece,https://wetv.vip/play/tnfk3rniubz3m8o-One-Piece
8,Pembasmi Iblis: Kimetsu no Yaiba Entertainment District Arc,https://wetv.vip/play/jvd3b35hr75jdww-Pembasmi-Iblis-Kimetsu-no-Yaiba-Entertainment-District-Arc
9,Pembasmi Iblis: Kimetsu No Yaiba,https://wetv.vip/play/votegoei5724a9g-Pembasmi-Iblis-Kimetsu-No-Yaiba
10,Jujutsu Kaisen,https://wetv.vip/play/w74fdyncquqifcx-Jujutsu-Kaisen
11,Dragon Ball Kai,https://wetv.vip/play/1oxoocvxiib416w-Dragon-Ball-Kai
12,Dragon Ball Z Kai: Bab Terakhir,https://wetv.vip/play/akk9f54ztjldyrx-Dragon-Ball-Z-Kai-Bab-Terakhir
13,Dragon Ball,https://wetv.vip/play/sfxpchebqdjmtr5-Dragon-Ball
14,Serangan Titan S1,https://wetv.vip/play/5l72h1v0a0ndjlv-Serangan-Titan-S1
15,Haikyu!!4,https://wetv.vip/play/uhzy54tc93ilw93-Haikyu!!4
16,Haikyu!!2,https://wetv.vip/play/mu5weouv83kaak8-Haikyu!!2
17,Slam Dunk,https://wetv.vip/play/iuubflgwnf0fwhr-Slam-Dunk
18,Sailor Moon,https://wetv.vip/play/fau68h3l0nle6pa-Sailor-Moon
19,Chang'An Magical Street,https://wetv.vip/play/jbgefe04e1ypu5n-Chang'An-Magical-Street
20,Penakluk Bintang,https://wetv.vip/play/0qgqd4kcd9ajxrs-Penakluk-Bintang
21,Serangan Titan S3,https://wetv.vip/play/5k4pdh3cn1r4h10-Serangan-Titan-S3
22,Haikyu!!,https://wetv.vip/play/nd1csmxjbg6w8p9-Haikyu!!
23,Tokyo Revengers,https://wetv.vip/play/0foxsdgr873t53g-Tokyo-Revengers
24,Inuyasha: Laga Terakhir,https://wetv.vip/play/wcly5e989phgoti-Inuyasha-Laga-Terakhir
25,Legendary Overlord,https://wetv.vip/play/gu8xnp9494amf21-Legendary-Overlord
26,Cermin: Kota Kembar,https://wetv.vip/play/8gthr0zd5sn3n5j-Cermin-Kota-Kembar
27,1000 Musim Gugur,https://wetv.vip/play/zj158n8r1kirl74-1000-Musim-Gugur
28,Pendekar Arwah: Bab Terakhir,https://wetv.vip/play/r8t02fkxr9jyvvn-Pendekar-Arwah-Bab-Terakhir
29,Demon Slayer: Kimetsu no Yaiba Mugen Train Arc,https://wetv.vip/play/5nlz3htw3fqhx20-Demon-Slayer-Kimetsu-no-Yaiba-Mugen-Train-Arc
30,Pulau Siliang,https://wetv.vip/play/45mhx3xzjqnd03u-Pulau-Siliang
31,Jagoan Sekali Pukul S2,https://wetv.vip/play/1k5mw9toe0co2bs-Jagoan-Sekali-Pukul-S2
32,Horimiya,https://wetv.vip/play/kxb77k91tcqbsof-Horimiya
33,Ｄｒ．ＳＴＯＮＥ,https://wetv.vip/play/andc1zd7cjfxrc5-%EF%BC%A4%EF%BD%92%EF%BC%8E%EF%BC%B3%EF%BC%B4%EF%BC%AF%EF%BC%AE%EF%BC%A5
34,Serangan Titan S2,https://wetv.vip/play/6xc66i652vbpjn1-Serangan-Titan-S2
35,Siasat Jahat,https://wetv.vip/play/m2c25jodoyslvyv-Siasat-Jahat
36,Haikyu!!3,https://wetv.vip/play/lch7uhesamljah7-Haikyu!!3
37,Dragon Ball GT,https://wetv.vip/play/b9f2hhs53ofhkza-Dragon-Ball-GT
38,Pembasmi Iblis: Kimetsu no Yaiba Entertainment District Arc (Audio Indonesia),https://wetv.vip/play/tb17e9tfw9q5d7t-Pembasmi-Iblis-Kimetsu-no-Yaiba-Entertainment-District-Arc-(Audio-Indonesia)
39,Avatar Sang Raja,https://wetv.vip/play/pnumjfjcvuau4sr-Avatar-Sang-Raja
40,Pendekar Arwah (Versi Jepang),https://wetv.vip/play/jd0i4okpbi76yih-Pendekar-Arwah-(Versi-Jepang)
41,Jagoan Sekali Pukul S1,https://wetv.vip/play/r386s7hzwidwkpv-Jagoan-Sekali-Pukul-S1
42,Pembasmi Iblis: Kimetsu No Yaiba (Audio Indonesia),https://wetv.vip/play/9mdf8u2lf4o9jlk-Pembasmi-Iblis-Kimetsu-No-Yaiba-(Audio-Indonesia)
43,Serangan Titan OAD,https://wetv.vip/play/bz3il3gwp8b8gyq-Serangan-Titan-OAD
44,Reinkarnasiku Slime S1,https://wetv.vip/play/ksjmv15ac999unm-Reinkarnasiku-Slime-S1
45,Sword Art Online S1,https://wetv.vip/play/dk9dwf1131racnz-Sword-Art-Online-S1
46,Mushoku Tensei: Jobless Reincarnation S1 Bagian 2,https://wetv.vip/play/ecmp615ib5kswl3-Mushoku-Tensei-Jobless-Reincarnation-S1-Bagian-2
47,FULLMETAL ALCHEMIST 2003,https://wetv.vip/play/r6yht13srzu48mc-FULLMETAL-ALCHEMIST-2003
48,Pendekar Arwah Q,https://wetv.vip/play/ivmvu6u2poh9e9b-Pendekar-Arwah-Q
49,Black Butler S1,https://wetv.vip/play/hahrxme70ossut6-Black-Butler-S1
50,Kakak Menyebalkan,https://wetv.vip/play/fvvrcc3ra9lbtt1-Kakak-Menyebalkan
